stations_info =  {<"213688169" 48.866 2.2757 35 "16107" "Benjamin Godard - Victor Hugo">
     <"911767210" 48.879 2.3666 24 "10162" "Alexandre Parodi - Quai de Valmy">
     <"54000565" 48.876 2.3681 27 "10115" "Granges aux Belles">
     <"210586093" 48.881 2.3515 24 "10029" "Dunkerque - Rocroy">
     <"1057296253" 48.824 2.3771 63 "13118" "Regnault - Patay">
     <"7254" 48.845 2.3419 24 "5005" "Gay Lussac - Saint-Jacques">
     <"214114469" 48.838 2.4937 32 "41303" "Gare de Nogent-le-Perreux">
     <"128887067" 48.851 2.3097 19 "7018" "Ségur - d'Estrées">
     <"55927887" 48.835 2.3855 36 "12031" "Gabriel Lamé">
     <"210574471" 48.879 2.3491 14 "9002" "Abbeville - Faubourg Poissonnière">
     <"72765603" 48.846 2.3521 20 "5022" "Boulangers - Cardinal Lemoine">
     <"210582921" 48.872 2.3294 14 "9106" "Boudreau - Auber">
     <"43255030" 48.88 2.288 48 "17040" "Pereire - Ternes">
     <"129025451" 48.883 2.3308 27 "9038" "Douai - Bruxelles">
     <"128920403" 48.875 2.3265 27 "8009" "Gare Saint-Lazare - Isly">
     <"323616530" 48.857 2.3418 17 "1001" "Quai de l'Horloge - Pont Neuf">
     <"208795867" 48.884 2.3957 17 "19105" "Ambroise Rendu - Porte Brunet">
     <"1062192012" 48.881 2.4804 36 "31103" "Gare Rosny-Bois-Perrier">
     <"6296" 48.858 2.3358 17 "6001" "Institut de France">
     <"521393180" 48.898 2.3231 23 "17008" "Porte Pouchet-Bessières">
     <"576188379" 48.839 2.311 24 "15112" "Vigée-Lebrun - Anselme Payen">
     <"128915891" 48.857 2.2932 33 "7025" "Octave Gréard - Tour Eiffel">
     <"82567101" 48.863 2.4155 26 "31706" "Château - République">
     <"457813746" 48.814 2.2873 16 "22409" "Henri Barbusse - Stalingrad">
     <"128882438" 48.849 2.3558 40 "5020" "Institut du Monde Arabe - Saint-Germain">
     <"35642049" 48.877 2.366 15 "10025" "Jemmapes - Ecluses Saint-Martin ">
     <"50191171" 48.889 2.3834 24 "19015" "Thionville - Ourcq">
     <"102290754" 48.884 2.3221 24 "17012" "Mairie du 17ème">
     <"3906153622" 48.919 2.2814 16 "26003" "Argenteuil - Voltaire">
     <"129087587" 48.889 2.3225 40 "17004" "Legendre - Clichy">
     <"213693511" 48.884 2.3704 24 "19003" "Quai de la Seine">
     <"82379648" 48.877 2.3097 33 "8036" "Lisbonne - Monceau">
     <"907081682" 48.868 2.447 0 "31024_relais" "Romainville - Vaillant-couturier">
     <"230877798" 48.885 2.3535 34 "18107" "Chartres - La Charbonnière">
     <"66491397" 48.846 2.3726 60 "12151" "Gare de Lyon - Place Louis Armand">
     <"2515995748" 48.896 2.2239 22 "92007" "Pesaro - Préfecture">
     <"129014600" 48.873 2.338 33 "9022" "Rossini - Laffitte">
     <"27363162" 48.855 2.2704 23 "16026" "Ranelagh - Mozart">
     <"129021753" 48.88 2.3311 17 "9028" "Moncey - Blanche">
     <"210740080" 48.882 2.3523 49 "10107" "Gare du Nord - Hôpital Lariboisière">
     <"102324803" 48.872 2.392 40 "20042" "Pyrénées - Emmery">
     <"54000569" 48.862 2.3772 38 "11027" "Saint-Ambroise - Parmentier">
     <"80216231" 48.88 2.2855 39 "17043" "Belidor - Gouvion-Saint-Cyr">
     <"336511521" 48.882 2.3926 17 "19026" "Place de Rhin et Danube">
     <"129043651" 48.855 2.3734 23 "11002" "Roquette - Thiéré">
     <"82562556" 48.841 2.2644 49 "16039" "Exelmans - Versailles">
     <"129048000" 48.859 2.3836 46 "11023" "Saint-Maur - Roquette">
     <"1062250686" 48.809 2.5382 36 "45003" "11 Novembre 1918 - 8 Mai 1945">
     <"261987383" 48.869 2.433 26 "31009" "Place Du Général De Gaulle">
     <"813544903" 48.861 2.3678 30 "11047" "Amelot - Saint-Sébastien">
     <"126050442" 48.884 2.2952 23 "17030" "Pereire - Rennequin">
     <"27363489" 48.838 2.3973 27 "12111" "Claude Decaen - Cannebière">
     <"39296638" 48.875 2.3083 35 "8034" "Berri - Haussmann">
